pair_id,cmi_score,cmi_legacy_recomputed,cmi_v2_exclude,cmi_v2_hindi,cmi_v2_english
P01737,0.4086021505376344,0.40860215053763443,40.74074074074075,40.243902439024396,41.463414634146346
P01825,0.4285714285714285,0.42857142857142855,34.78260869565217,34.78260869565217,34.78260869565217
P02043,0.4727272727272727,0.4727272727272727,26.80412371134021,26.530612244897956,27.55102040816326
P02999,0.3691588785046729,0.3691588785046729,24.590163934426236,24.590163934426236,24.590163934426236
P00789,0.375,0.375,40.98360655737705,40.32258064516129,41.93548387096774
P01382,0.4324324324324324,0.43243243243243246,30.98591549295775,30.98591549295775,30.98591549295775
P02891,0.3669724770642202,0.3669724770642202,27.956989247311824,27.956989247311824,27.956989247311824
P00413,0.4435483870967742,0.4435483870967742,30.303030303030297,30.303030303030297,30.303030303030297
P01910,0.4226190476190476,0.4226190476190476,27.083333333333336,27.083333333333336,27.083333333333336
P01372,0.4941176470588235,0.49411764705882355,18.840579710144922,18.840579710144922,18.840579710144922
P00337,0.3846153846153846,0.38461538461538464,17.948717948717952,17.948717948717952,17.948717948717952
P00880,0.4607843137254901,0.46078431372549017,28.260869565217394,27.6595744680851,29.78723404255319
P01958,0.3653846153846153,0.36538461538461536,35.22727272727273,34.44444444444444,36.66666666666667
P01047,0.4545454545454545,0.45454545454545453,17.391304347826086,17.391304347826086,17.391304347826086
P01453,0.4639175257731959,0.4639175257731959,20.481927710843372,20.481927710843372,20.481927710843372
P01299,0.4347826086956521,0.43478260869565216,30.508474576271183,30.508474576271183,30.508474576271183
P01233,0.5769230769230769,0.5769230769230769,12.307692307692308,12.307692307692308,12.307692307692308
P02634,0.3781512605042016,0.37815126050420167,31.428571428571427,31.428571428571427,31.428571428571427
P01051,0.4672131147540984,0.4672131147540984,20.999999999999996,20.192307692307686,24.03846153846154
P01860,0.3125,0.3125,43.24324324324324,43.24324324324324,43.24324324324324
P00123,0.3287671232876712,0.3287671232876712,48.57142857142858,48.57142857142858,48.57142857142858
P01160,0.288135593220339,0.288135593220339,47.27272727272728,47.27272727272728,47.27272727272728
P01924,0.3898305084745763,0.3898305084745763,43.39622641509434,43.39622641509434,43.39622641509434
P02403,0.4936708860759494,0.4936708860759494,25.373134328358205,25.373134328358205,25.373134328358205
P01939,0.3636363636363636,0.36363636363636365,33.84615384615385,33.84615384615385,33.84615384615385
P01682,0.4669811320754717,0.4669811320754717,27.89473684210526,27.89473684210526,27.89473684210526
P01789,0.3181818181818182,0.3181818181818182,48.57142857142858,47.22222222222222,50.0
